,Address,Fire alarm
872,131 ORLANDO Ave,1
873,131 RIDER Ave,1
874,131 SHOTWELL Park,1
875,131 SIMON Dr,6
876,131 SPRINGFIELD Rd,2
877,131 W PLEASANT Ave,1
878,131 WALL St,1
879,1310 PARK St,2
880,1310 S MCBRIDE St,1
881,1311 COURT St,1
882,1311 E COLVIN St,1
883,1311 STOLP Ave,3
884,1312 BUTTERNUT St,6
885,1313 BUTTERNUT St,7
886,1314 CARBON St,1
887,1314 N SALINA St,2
888,1315 HIGHLAND St,1
889,1315 WESTMORELAND Ave,1
890,1316 E FAYETTE St,1
891,1317 HIGHLAND St,1
892,132 BRACE St,1
893,132 MARTIN LUTHER KING W,7
894,132 MARTIN St,1
895,132 MONTICELLO Dr N,1
896,132 PERSHING Ave,1
897,132 ROSE Ave,1
898,132 W BISSELL St,1
899,132 WINTHROP Rd,1
900,1320 HIGHLAND St,1
901,1320 JAMESVILLE Ave,2
902,1320 SALT SPRINGS Rd,7
903,1321 BUTTERNUT St,1
904,1321 N STATE St,1
905,1322 MADISON St,2
906,1322 OAK St,1
907,1322 SOUTH Ave,1
908,1324 WILLIS Ave,1
909,1326 BELLEVUE Ave,1
910,1329 LANCASTER Ave,1
911,133 BENEDICT Ave,1
912,133 BISHOP Ave,1
913,133 FURMAN St,1
914,133 GREEN St,1
915,133 GREENLAND Dr,1
916,133 HILLSDALE Ave,1
917,133 JOHN St,2
918,133 NELSON St,1
919,133 TEJAH Ave,2
920,133 W LAFAYETTE Ave,2
921,133 WALTON St,3
